Id,YearBuilt,YearRemodAdd,YrSold,Time_Grg,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SalePrice,LotShape,LandSlope,HouseStyle,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,PoolQC,Fence,MSZoning,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,Heating,CentralAir,Functional,PavedDrive,SaleType,SaleCondition,Alley,BsmtFinType1,BsmtFinType2,GarageType,GarageFinish,MiscFeature,MasVnrType,Electrical,MSSubClass
13,1962,1962,2008,46,76.6,12968,0.0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,144000,IR2,Gtl,1Story,5,6,TA,TA,TA,TA,No,TA,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,Hip,CompShg,HdBoard,Plywood,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Detchd,Unf,NA,None,SBrkr,20
14,2006,2007,2007,1,91.0,10652,306.0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,279500,IR1,Gtl,1Story,7,5,Gd,TA,Gd,TA,Av,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,Unf,Unf,Attchd,RFn,NA,Stone,SBrkr,20
15,1960,1960,2008,48,75.2,10920,212.0,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,157000,IR1,Gtl,1Story,6,5,TA,TA,TA,TA,No,TA,TA,Fa,TA,TA,NA,GdWo,RL,Pave,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,Hip,CompShg,MetalSd,MetalSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,BLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,20
16,1929,2001,2007,16,51.0,6120,0.0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,132000,Reg,Gtl,1.5Unf,7,8,TA,TA,TA,TA,No,Ex,TA,NA,TA,TA,NA,GdPrv,RM,Pave,Lvl,AllPub,Corner,BrkSide,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,FuseA,45
17,1970,1970,2010,40,90.2,11241,180.0,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,149000,IR1,Gtl,1Story,6,7,TA,TA,TA,TA,No,Ex,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,Fin,Shed,BrkFace,SBrkr,20
18,1967,1967,2006,39,72.0,10791,0.0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,90000,Reg,Gtl,1Story,4,5,TA,TA,NA,NA,NA,TA,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,Duplex,Gable,CompShg,MetalSd,MetalSd,Slab,GasA,Y,Typ,Y,WD,Normal,NA,NA,NA,CarPort,Unf,Shed,None,SBrkr,90
19,2004,2004,2008,4,66.0,13695,0.0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,159000,Reg,Gtl,1Story,5,5,TA,TA,TA,TA,No,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Detchd,Unf,NA,None,SBrkr,20
20,1958,1965,2009,51,70.0,7560,0.0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,139000,Reg,Gtl,1Story,5,6,TA,TA,TA,TA,No,TA,TA,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Hip,CompShg,BrkFace,Plywood,CBlock,GasA,Y,Min1,Y,COD,Abnorml,NA,LwQ,Unf,Attchd,Unf,NA,None,SBrkr,20
21,2005,2006,2006,1,101.0,14215,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,325300,IR1,Gtl,2Story,8,5,Gd,TA,Ex,TA,Av,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,New,Partial,NA,Unf,Unf,BuiltIn,RFn,NA,BrkFace,SBrkr,60
22,1930,1950,2007,77,57.0,7449,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,139400,Reg,Gtl,1.5Unf,7,7,TA,TA,TA,TA,No,Ex,Gd,Gd,TA,TA,NA,GdPrv,RM,Pave,Bnk,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,Y,Typ,N,WD,Normal,Grvl,Unf,Unf,Attchd,Unf,NA,None,FuseF,45
23,2002,2002,2008,6,75.0,9742,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,230000,Reg,Gtl,1Story,8,5,Gd,TA,Gd,TA,No,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,BrkFace,SBrkr,20
24,1976,1976,2007,31,44.0,4224,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,129900,Reg,Gtl,1Story,5,7,TA,TA,Gd,TA,No,TA,TA,TA,TA,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Unf,NA,None,SBrkr,120
25,1968,2001,2010,42,66.0,8246,0.0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,154000,IR1,Gtl,1Story,5,8,TA,Gd,TA,TA,Mn,Ex,Gd,TA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Rec,ALQ,Attchd,Unf,NA,None,SBrkr,20
26,2007,2007,2009,2,110.0,14230,640.0,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,256300,Reg,Gtl,1Story,8,5,Gd,TA,Gd,TA,No,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,Stone,SBrkr,20
27,1951,2000,2010,5,60.0,7200,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,134800,Reg,Gtl,1Story,5,7,TA,TA,TA,TA,Mn,TA,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,BLQ,Rec,Detchd,Unf,NA,None,SBrkr,20
28,2007,2008,2010,2,98.0,11478,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,306000,Reg,Gtl,1Story,8,5,Gd,TA,Ex,TA,No,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,Stone,SBrkr,20
29,1957,1997,2006,49,47.0,16321,0.0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,207500,IR1,Gtl,1Story,5,6,TA,TA,TA,TA,Gd,TA,TA,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,BLQ,Unf,Attchd,RFn,NA,None,SBrkr,20
30,1927,1950,2008,88,60.0,6324,0.0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,68500,IR1,Gtl,1Story,4,6,TA,TA,TA,TA,No,Fa,Fa,NA,Fa,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,N,Typ,Y,WD,Normal,NA,Unf,Unf,Detchd,Unf,NA,None,SBrkr,30
31,1920,1950,2008,88,50.0,8500,0.0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,40000,Reg,Gtl,2Story,4,4,TA,Fa,TA,TA,No,TA,TA,NA,TA,Fa,NA,MnPrv,C (all),Pave,Lvl,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,Gambrel,CompShg,BrkFace,BrkFace,BrkTil,GasA,N,Typ,N,WD,Normal,Pave,Unf,Unf,Detchd,Unf,NA,None,SBrkr,70
32,1966,2006,2008,42,67.6,8544,0.0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,149350,IR1,Gtl,1Story,5,6,TA,TA,TA,TA,No,Gd,Gd,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,Unf,NA,None,SBrkr,20
33,2007,2007,2008,1,85.0,11049,0.0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,179900,Reg,Gtl,1Story,8,5,Gd,TA,Ex,TA,Av,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,RFn,NA,None,SBrkr,20
34,1959,1959,2010,51,70.0,10552,0.0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,165500,IR1,Gtl,1Story,5,5,TA,TA,TA,TA,No,Gd,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Hip,CompShg,BrkFace,BrkFace,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Rec,Unf,Attchd,RFn,NA,None,SBrkr,20
35,2005,2005,2007,2,60.0,7313,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,277500,Reg,Gtl,1Story,9,5,Ex,TA,Ex,TA,No,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,Hip,CompShg,MetalSd,MetalSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Fin,NA,BrkFace,SBrkr,120
36,2004,2005,2006,2,108.0,13418,132.0,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,309000,Reg,Gtl,2Story,8,5,Gd,TA,Ex,TA,Av,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,BuiltIn,Fin,NA,Stone,SBrkr,60
37,1994,1995,2009,14,112.0,10859,0.0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,145000,Reg,Gtl,1Story,5,5,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,Unf,Unf,Attchd,Unf,NA,None,SBrkr,20
38,1954,1990,2009,55,74.0,8532,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,153000,Reg,Gtl,1Story,5,6,TA,TA,TA,TA,No,Gd,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Rec,Unf,Attchd,Fin,NA,BrkFace,SBrkr,20
39,1953,2007,2010,57,68.0,7922,0.0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,109000,Reg,Gtl,1Story,5,7,TA,Gd,TA,TA,No,TA,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,Y,Typ,Y,WD,Abnorml,NA,GLQ,Unf,Detchd,Unf,NA,None,SBrkr,20
40,1955,1955,2008,0,65.0,6040,0.0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,82000,Reg,Gtl,1Story,4,5,TA,TA,NA,NA,NA,TA,Fa,NA,NA,NA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,Duplex,Gable,CompShg,AsbShng,Plywood,PConc,GasA,N,Typ,N,WD,AdjLand,NA,NA,NA,NA,NA,NA,None,FuseP,90
41,1965,1965,2006,41,84.0,8658,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,160000,Reg,Gtl,1Story,6,5,TA,TA,TA,TA,No,Ex,TA,TA,TA,TA,NA,GdWo,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Abnorml,NA,Rec,Unf,Attchd,RFn,NA,BrkFace,SBrkr,20
42,1959,1959,2007,48,115.0,16905,0.0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,170000,Reg,Gtl,1Story,5,6,TA,Gd,TA,TA,Gd,Gd,TA,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Timber,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,Y,Typ,P,WD,Normal,NA,BLQ,Unf,Attchd,RFn,NA,None,SBrkr,20
43,1983,1983,2007,24,77.0,9180,0.0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,144000,IR1,Gtl,SFoyer,5,7,TA,TA,Gd,TA,Av,Gd,Gd,NA,TA,Gd,NA,MnPrv,RL,Pave,Lvl,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,LwQ,Attchd,RFn,NA,None,SBrkr,85
44,1975,1980,2008,31,65.4,9200,0.0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,130250,IR1,Gtl,1Story,5,6,TA,TA,Gd,TA,Av,TA,TA,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,LwQ,BLQ,Detchd,Unf,NA,None,SBrkr,20
45,1959,1959,2006,47,70.0,7945,0.0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,141000,Reg,Gtl,1Story,5,6,TA,TA,TA,TA,No,Ex,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,Gable,CompShg,BrkFace,Wd Sdng,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,BLQ,Attchd,RFn,NA,None,FuseA,20
46,2005,2005,2010,5,61.0,7658,412.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,319900,Reg,Gtl,1Story,9,5,Ex,TA,Ex,TA,No,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,Hip,CompShg,MetalSd,MetalSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,120
47,2003,2003,2009,6,48.0,12822,0.0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,239686,IR1,Gtl,1.5Fin,7,5,Gd,TA,Ex,TA,No,Ex,Gd,Ex,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Abnorml,NA,GLQ,Unf,Attchd,RFn,NA,None,SBrkr,50
48,2006,2006,2007,1,84.0,11096,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,249700,Reg,Gtl,1Story,8,5,Gd,TA,Gd,TA,Av,Ex,Gd,NA,TA,TA,NA,NA,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,None,SBrkr,20
49,1920,2008,2009,0,33.0,4456,0.0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,113000,Reg,Gtl,2Story,4,5,TA,TA,TA,TA,No,Gd,TA,NA,NA,NA,NA,NA,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,2fmCon,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,Y,Typ,N,New,Partial,NA,Unf,Unf,NA,NA,NA,None,SBrkr,190
